Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-ECR1","OpenClawAgentCore/AgentRepo/Resource","Compliant","N/A","Error","The ECR Repository allows open access."
"AwsSolutions-EC23","OpenClawAgentCore/AgentRuntimeSecurityGroup/Resource","Suppressed","Ingress uses VPC CIDR; not open to 0.0.0.0/0.","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","OpenClawAgentCore/AgentRuntimeSecurityGroup/Resource","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-IAM4","OpenClawAgentCore/AgentExecutionRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","OpenClawAgentCore/AgentExecutionRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawAgentCore/AgentExecutionRole/DefaultPolicy/Resource","Suppressed","[Resource::arn:aws:bedrock:*::foundation-model/*] Bedrock foundation model and inference profile ARNs require wildcard for model ID because the agent may use multiple models. Actions are scoped to InvokeModel only. Memory, AgentCore Runtime, Logs, Metrics, and X-Ray APIs do not support resource-level permissions.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawAgentCore/AgentExecutionRole/DefaultPolicy/Resource","Suppressed","[Resource::arn:aws:bedrock:ap-southeast-2:657117630614:inference-profile/*] Bedrock foundation model and inference profile ARNs require wildcard for model ID because the agent may use multiple models. Actions are scoped to InvokeModel only. Memory, AgentCore Runtime, Logs, Metrics, and X-Ray APIs do not support resource-level permissions.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawAgentCore/AgentExecutionRole/DefaultPolicy/Resource","Suppressed","[Resource::*] Bedrock foundation model and inference profile ARNs require wildcard for model ID because the agent may use multiple models. Actions are scoped to InvokeModel only. Memory, AgentCore Runtime, Logs, Metrics, and X-Ray APIs do not support resource-level permissions.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","OpenClawAgentCore/MemoryExecutionRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","OpenClawAgentCore/MemoryExecutionRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawAgentCore/MemoryExecutionRole/DefaultPolicy/Resource","Suppressed","[Resource::arn:aws:bedrock:ap-southeast-2::foundation-model/*] Memory execution role needs InvokeModel on foundation models for memory extraction. Wildcard required for model ID.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","OpenClawAgentCore/RuntimeWaiterFunction/ServiceRole/Resource","Suppressed","[Policy::arn:<AWS::Partition>:iam::aws:policy/service-role/AWSLambdaBasicExecutionRole] Lambda uses AWSLambdaBasicExecutionRole for CloudWatch Logs.","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","OpenClawAgentCore/RuntimeWaiterFunction/ServiceRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawAgentCore/RuntimeWaiterFunction/ServiceRole/DefaultPolicy/Resource","Suppressed","[Resource::*] bedrock-agentcore:GetRuntime and bedrock-agentcore:GetAgentRuntime do not support resource-level ARNs; wildcard required. Actions are read-only.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-L1","OpenClawAgentCore/RuntimeWaiterFunction/Resource","Suppressed","Python 3.12 is the latest stable runtime supported by CDK.","Error","The non-container Lambda function is not configured to use the latest runtime version."
"AwsSolutions-IAM4","OpenClawAgentCore/RuntimeWaiterProvider/framework-onEvent/ServiceRole/Resource","Suppressed","[Policy::arn:<AWS::Partition>:iam::aws:policy/service-role/AWSLambdaBasicExecutionRole] CDK Provider framework Lambda uses AWSLambdaBasicExecutionRole. This is managed by CDK and cannot be customised.","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","OpenClawAgentCore/RuntimeWaiterProvider/framework-onEvent/ServiceRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawAgentCore/RuntimeWaiterProvider/framework-onEvent/ServiceRole/DefaultPolicy/Resource","Suppressed","CDK Provider framework Lambda needs invoke permission on the on_event handler. The :* suffix covers Lambda versions and is CDK-managed.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-L1","OpenClawAgentCore/RuntimeWaiterProvider/framework-onEvent/Resource","Suppressed","Lambda runtime is managed by CDK Provider framework and cannot be overridden.","Error","The non-container Lambda function is not configured to use the latest runtime version."
